Date,Open,High,Low,Close,Adjusted_Close,Volume
12/12/1980,0.128348,0.128906,0.128348,0.128348,0.099192,469033600
12/15/1980,0.12221,0.12221,0.121652,0.121652,0.094017,175884800
12/16/1980,0.113281,0.113281,0.112723,0.112723,0.087116,105728000
12/17/1980,0.115513,0.116071,0.115513,0.115513,0.089273,86441600
12/18/1980,0.118862,0.11942,0.118862,0.118862,0.091861,73449600
12/19/1980,0.126116,0.126674,0.126116,0.126116,0.097467,48630400
12/22/1980,0.132254,0.132813,0.132254,0.132254,0.102211,37363200
12/23/1980,0.137835,0.138393,0.137835,0.137835,0.106524,46950400
12/24/1980,0.145089,0.145647,0.145089,0.145089,0.11213,48003200
12/26/1980,0.158482,0.15904,0.158482,0.158482,0.122481,55574400
12/29/1980,0.160714,0.161272,0.160714,0.160714,0.124206,93161600
12/30/1980,0.157366,0.157366,0.156808,0.156808,0.121187,68880000
12/31/1980,0.152902,0.152902,0.152344,0.152344,0.117737,35750400
01/02/1981,0.154018,0.155134,0.154018,0.154018,0.119031,21660800
01/05/1981,0.151228,0.151228,0.15067,0.15067,0.116443,35728000
01/06/1981,0.144531,0.144531,0.143973,0.143973,0.111268,45158400
01/07/1981,0.138393,0.138393,0.137835,0.137835,0.106524,55686400
01/08/1981,0.135603,0.135603,0.135045,0.135045,0.104368,39827200
01/09/1981,0.142299,0.142857,0.142299,0.142299,0.109974,21504000
01/12/1981,0.142299,0.142299,0.141183,0.141183,0.109111,23699200
1/13/1981,0.136719,0.136719,0.136161,0.136161,0.10523,23049600
1/14/1981,0.136719,0.137277,0.136719,0.136719,0.105662,14291200
1/15/1981,0.139509,0.140625,0.139509,0.139509,0.107818,14067200
1/16/1981,0.138951,0.138951,0.138393,0.138393,0.106955,13395200
1/19/1981,0.146763,0.147321,0.146763,0.146763,0.113424,41574400
1/20/1981,0.142857,0.142857,0.142299,0.142299,0.109974,30083200
1/21/1981,0.145089,0.146205,0.145089,0.145089,0.11213,15904000
1/22/1981,0.146763,0.147879,0.146763,0.146763,0.113424,35548800
1/23/1981,0.146763,0.147321,0.146205,0.146205,0.112993,11222400
1/26/1981,0.144531,0.144531,0.143973,0.143973,0.111268,24640000
1/27/1981,0.143973,0.143973,0.142857,0.142857,0.110405,23699200
1/28/1981,0.138951,0.138951,0.138393,0.138393,0.106955,28156800
1/29/1981,0.133929,0.133929,0.133371,0.133371,0.103074,43904000
1/30/1981,0.127232,0.127232,0.126116,0.126116,0.097467,46188800
02/02/1981,0.11942,0.11942,0.118862,0.118862,0.091861,23766400
02/03/1981,0.123326,0.123884,0.123326,0.123326,0.095311,19152000
02/04/1981,0.12779,0.128348,0.12779,0.12779,0.098761,27865600
02/05/1981,0.12779,0.128906,0.12779,0.12779,0.098761,7929600
02/06/1981,0.128348,0.128906,0.128348,0.128348,0.099192,13865600
02/09/1981,0.122768,0.122768,0.121652,0.121652,0.094017,16755200
02/10/1981,0.121652,0.12221,0.121652,0.121652,0.094017,18345600
02/11/1981,0.118304,0.118304,0.117746,0.117746,0.090998,13843200
02/12/1981,0.117188,0.117188,0.116629,0.116629,0.090135,14560000
2/13/1981,0.114955,0.114955,0.113839,0.113839,0.087979,11155200
2/17/1981,0.116629,0.117188,0.116629,0.116629,0.090135,12275200
2/18/1981,0.121652,0.122768,0.121652,0.121652,0.094017,19241600
2/19/1981,0.114955,0.114955,0.114397,0.114397,0.08841,22310400
2/20/1981,0.108817,0.108817,0.108259,0.108259,0.083667,24371200
2/23/1981,0.109933,0.110491,0.109933,0.109933,0.08496,14112000
2/24/1981,0.107143,0.107143,0.106027,0.106027,0.081942,16979200
2/25/1981,0.112723,0.113281,0.112723,0.112723,0.087116,19488000
2/26/1981,0.114397,0.114955,0.114397,0.114397,0.08841,10841600
2/27/1981,0.118304,0.11942,0.118304,0.118304,0.09143,14761600
03/02/1981,0.118862,0.11942,0.118862,0.118862,0.091861,11760000
03/03/1981,0.117746,0.117746,0.117188,0.117188,0.090567,16172800
03/04/1981,0.116629,0.116629,0.116071,0.116071,0.089704,13708800
03/05/1981,0.116071,0.116071,0.115513,0.115513,0.089273,5376000
03/06/1981,0.115513,0.115513,0.114397,0.114397,0.08841,11603200
03/09/1981,0.106027,0.106027,0.105469,0.105469,0.08151,15321600
03/10/1981,0.101004,0.101004,0.100446,0.100446,0.077628,28380800
03/11/1981,0.097656,0.097656,0.09654,0.09654,0.07461,29859200
03/12/1981,0.100446,0.101004,0.100446,0.100446,0.077628,59248000
3/13/1981,0.099888,0.099888,0.09933,0.09933,0.076766,231302400
3/16/1981,0.103237,0.104353,0.103237,0.103237,0.079785,37228800
3/17/1981,0.108259,0.109375,0.108259,0.108259,0.083667,43747200
3/18/1981,0.114955,0.116071,0.114955,0.114955,0.088841,36937600
3/19/1981,0.114397,0.114397,0.113839,0.113839,0.087979,37811200
3/20/1981,0.114955,0.116071,0.114955,0.114955,0.088841,14604800
3/23/1981,0.11942,0.120536,0.11942,0.11942,0.092292,22019200
3/24/1981,0.11942,0.11942,0.118862,0.118862,0.091861,28156800
3/25/1981,0.117746,0.117746,0.116629,0.116629,0.090135,7056000
3/26/1981,0.114955,0.114955,0.114397,0.114397,0.08841,12275200
3/27/1981,0.111049,0.111049,0.110491,0.110491,0.085392,12252800
3/30/1981,0.110491,0.111607,0.110491,0.110491,0.085392,9900800
3/31/1981,0.110491,0.110491,0.109375,0.109375,0.084529,15993600
04/01/1981,0.108817,0.108817,0.108259,0.108259,0.083667,34070400
04/02/1981,0.117746,0.118304,0.117746,0.117746,0.090998,31404800
04/03/1981,0.118304,0.118862,0.118304,0.118304,0.09143,16486400
04/06/1981,0.116629,0.116629,0.116071,0.116071,0.089704,22803200
04/07/1981,0.115513,0.115513,0.114955,0.114955,0.088841,10684800
04/08/1981,0.120536,0.121652,0.120536,0.120536,0.093155,21952000
04/09/1981,0.122768,0.123326,0.122768,0.122768,0.09488,12499200
04/10/1981,0.124442,0.125,0.124442,0.124442,0.096173,33465600
4/13/1981,0.124442,0.125,0.124442,0.124442,0.096173,16060800
4/14/1981,0.124442,0.125,0.124442,0.124442,0.096173,6652800
4/15/1981,0.118862,0.118862,0.118304,0.118304,0.09143,34048000
4/16/1981,0.112165,0.112165,0.111607,0.111607,0.086254,23878400
4/20/1981,0.114955,0.115513,0.114955,0.114955,0.088841,35347200
4/21/1981,0.122768,0.123326,0.122768,0.122768,0.09488,28537600
4/22/1981,0.127232,0.12779,0.127232,0.127232,0.09833,18995200
4/23/1981,0.13058,0.131138,0.13058,0.13058,0.100917,58016000
4/24/1981,0.13058,0.13058,0.129464,0.129464,0.100055,35056000
4/27/1981,0.128906,0.128906,0.128348,0.128348,0.099192,38528000
4/28/1981,0.126674,0.126674,0.126116,0.126116,0.097467,32188800
4/29/1981,0.125,0.125,0.124442,0.124442,0.096173,13641600
4/30/1981,0.126674,0.12779,0.126674,0.126674,0.097898,12611200
05/01/1981,0.126674,0.12779,0.126674,0.126674,0.097898,16553600
05/04/1981,0.126674,0.126674,0.126116,0.126116,0.097467,14448000
05/05/1981,0.126116,0.126116,0.125558,0.125558,0.097036,17539200
